,Sentiment,Tweet
39,negative,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
40,negative,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
41,negative,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
42,negative,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
43,negative,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
44,negative,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
45,negative,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
46,negative,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
47,negative,is strangely sad about LiLo and SamRo breaking up. 
48,negative,@tea oh! i'm so sorry  i didn't think about that before retweeting.
49,negative,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
50,negative,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
51,negative,our duck and chicken are taking wayyy too long to hatch 
52,negative,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
53,negative,I need a hug 
54,negative,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
55,negative,@oanhLove I hate when that happens... 
56,negative,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
57,negative,Ugh....92 degrees tomorrow 
58,negative,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
59,negative,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
60,negative,just leaving the parking lot of work! 
61,negative,The Life is cool. But not for Me. 
62,negative,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
63,negative,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
64,negative,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
65,negative,Damm back to school tomorrow 
66,negative,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
67,negative,@katortiz  Not forever... See you soon!
68,negative,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. "
69,negative,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
70,negative,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
71,negative,i really hate how people diss my bands!  Trace is clearly NOT ugly!
72,negative,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls."
73,negative,Why won't you show my location?!   http://twitpic.com/2y2es
74,negative,No picnic  my phone smells like citrus.
75,negative,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. "
76,negative,No new csi tonight.  FML
77,negative,i think my arms are sore from tennis 
78,negative,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
79,negative,sleep soon... i just hate saying bye and see you tomorrow for the night. 
80,negative,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine "
81,negative,missin' the boo 
82,negative,@markhardy1974 Me too  #itm
83,negative,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
84,negative,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too "
85,negative,@msdrama hey missed ya at the meeting  sup mama
86,negative,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
87,negative,why is it always the fat ones?! 
88,negative,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*"
89,negative,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
90,negative,wednesday my b-day! don't know what 2 do!! 
91,negative,Poor cameron (the hills) 
92,negative,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
93,negative,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
94,negative,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435
95,negative,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
96,negative,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
97,negative,"@stark YOU don't follow me, either  and i work for you!"
98,negative,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
99,negative, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
100,negative,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... "
101,negative,Behind on my classes for work 
102,negative,watching &quot;House&quot; 
103,negative,@kpreyes Remember my bum leg? Strikes back this time its serious 
104,negative,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls "
105,negative,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
106,negative,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
107,negative,@Henkuyinepu it's overrated 
108,negative,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times 
109,negative,laying in bed with no voice.. 
110,negative,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy
111,negative,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.
112,negative,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. "
113,negative,@salancaster  hope your ok.
114,negative,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love
115,negative,@HibaNick yeah aw but i know i wudnt stand a chance 
116,negative,ugh. cant sleep. its 1:30am. 
117,negative,Hanging in Crooners. Wanna sing. Can't. Sucks. 
118,negative,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! 
119,negative,Is pissed off that there's no ASBA's for a radio station. 
120,negative,wednesday my b-day n don't know what 2 do!  
121,negative,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. 
122,negative,I am in pain. My back and sides hurt. Not to mention crying is made of fail. 
123,negative,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... "
124,negative,@allyheman but.. but.. but.. I'm not a big fan on camilla belle 
125,negative,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine "
126,negative,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
127,negative,I'm so cold 
128,negative,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
129,negative,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff
130,negative,Hoping the tummy rumbles go away soon 
131,negative,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. "
132,negative,almost bedtime 
133,negative,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
134,negative,Agh...snow!!! 
135,negative,i miss kenny powers 
136,negative,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget "
137,negative,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. "
138,negative,@JonathanRKnight I guess that's a no then. 
139,negative,sadly is going to bed. 
140,negative,@ozesteph1992 Shame to hear this Stephan 
141,negative,@mrsaintnick hey! i'm leavin in the morning... 
142,negative,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left "
143,negative,laid around too much today... now my head hurts 
144,negative,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.
145,negative,my nokia 1110 died..  
146,negative,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! 
147,negative,Going to sleep. Hoping tomorrow is a better day. 
148,negative,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too
149,negative,@onemoreproject that is lame 
150,negative,I don't understand... I really don't 
151,negative,HEROES just isn't doing it for me this season... 
152,negative,Living not downtown sure isn't much fun.  
153,negative,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
154,negative,Man Work is Hard 
155,negative,"getting sick  time for some hot tea, studying, and then sleeeep"
156,negative,Getting eyebrows waxed. More pain 
157,negative,No phantasy star yesterday  going to work...
158,negative,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
159,negative,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
160,negative,is alone downstairs...working 
161,negative,I feel bad for doing it 
162,negative,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. "
163,negative,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far 
164,negative,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. 
165,negative,Thanks for bursting my bubble 
166,negative,Going to school soon... can't find anything to wear!! gosh it's so hard 
167,negative,@marieclr I was serious  LOL
168,negative,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
169,negative,Crazy wind today = no birding  http://ff.im/1XTTi
170,negative,currently at work.. 
171,negative,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
172,negative,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!
173,negative,i don't see the big deal with this website 
174,negative,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
175,negative,@ColinDeMar Far too out of the way for rail.  any other tips?
176,negative,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
177,negative,"Today I realized I am too good at hiding things, even I can't find it "
178,negative,"Staying at a friends house...house sitting, neighbors are SO loud-having a party "
179,negative,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!
180,negative,Check out my mug  http://www.erika-obscura.blogspot.com
181,negative,Borders closed at 10 
182,negative,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days 
183,negative,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! 
184,negative,is watching the hill . . .and its making me sad 
185,negative,So many channels.... yet so so boring... lazy day again  may have to find a hobby
186,negative,@supersport I miss my buddy  ill be in NY on the 25th
187,negative,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
188,negative,Opps.. As I said.. I still got one day remain and now problem come 
189,negative,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb"
190,negative,@HillyDoP  oH NO
191,negative,spencer is not a good guy. 
192,negative,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
193,negative,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheï¿½s not well "
194,negative,didn't get shit done today ~ i'm so screwed 
195,negative,wanttss to go out 
196,negative,Is not going to sleep tonite. 
197,negative,too worried and tired to post tonight 
198,negative,couldn't get shit done today ~ i'm so screwed 
199,negative,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
200,negative,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*("
201,negative,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now
202,negative,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. "
203,negative,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! 
204,negative,i hate to see the spartans so sad 
205,negative,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot 
206,negative,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!"
207,negative,@mandayyy 
208,negative,@twista202 I think I want to read some books but the library doesn't have them 
209,negative,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...
210,negative,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
211,negative,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.
212,negative,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
213,negative,sad that the 'feet' of my macbook just fell off 
214,negative,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad 
215,negative,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  "
216,negative,"Has now gotten somebody to read his tweets, but cant get them to make an account. "
217,negative,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:
218,negative,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
219,negative,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
220,negative,@breadandbadger Congrats!!  i totally forgot to submit photos 
221,negative,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
222,negative,@imaginarypeach now your leaving me  .... -gets sad-
223,negative,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. "
224,negative,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
225,negative,Tuesdayï¿½ll start with reflection ï¿½n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers 
226,negative,What tragedy and disaster in the news this week 
227,negative,yes yes still trying to find a picture that will upload correclty.. 
228,negative,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
229,negative,I still can't find my keys. 
230,negative,@charlietm I know right. I dunno what is going on with twitter. 
231,negative,might be getting a sore throat again 
232,negative,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
233,negative,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  
234,negative,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd 
235,negative,is in the bathroom... wake up lakin. 
236,negative,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3
237,negative,"im lonely  keep me company! 22 female, california"
238,negative,bad day at the betfair office 
239,negative,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!
240,negative,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
241,negative,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! 
242,negative,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
243,negative,@miss_om Aww  I know I felt like that yesterday at work 
244,negative,@SarahReedSC treaty isn't defined 
245,negative,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
246,negative,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
247,negative,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts
248,negative,@mandayyy   
249,negative,New video card is DOA. 
250,negative,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
251,negative,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work "
252,negative,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
253,negative,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah
254,negative,has lost his ring. It's no-where to be seen 
255,negative,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
256,negative,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick 
257,negative,Is fucked to go back to IC 
258,negative,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
259,negative,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can
260,negative,@kissability Me too I is poor 
261,negative,help me forget 8th april &amp; 13th july! 
262,negative,"dierks bentley is comin' to columbus, OH!! i wanna go so bad "
263,negative,i have to take my sidekick back. 
264,negative,@chriscantore congrats! I'm totally jealous! only wish my XM was working 
265,negative,gr8t my face is very itchy 
266,negative,poor socks  luvvvvv the golden retriever!! I want one sighhhh
267,negative,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
268,negative,Aaaaand the nausea is back. 
269,negative,@DonnieWahlberg ooh Iï¿½m excited and not even going 2 be there  long love YOUTUBE!
270,negative,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..
271,negative,@mathewsmichael  i agree... the jobros dont update theres very often 
272,negative,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link 
273,negative,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  )
274,negative,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!"
275,negative,@bostongarden I miss bentley 
276,negative,seriously needs to finish these job applications 
277,negative,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids"
278,negative,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. 
279,negative,@huntermoore I don't want him to ever punch me.  
280,negative,sooo sick of the snow  ughh
281,negative,@ITS_NEMESIS ------- 
282,negative,@LoveMeagan it doesn't work your fan is upset 
283,negative,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. 
284,negative,@zaydia but i cant figure out how to get there / back / pay for a hotel etc 
285,negative,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN "
286,negative,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.
287,negative,@ThaStevieG but what I really want is my old bass back 
288,negative,Mad tired today... Callin it in early tonight  nighty night twittas
289,negative,"@LevenRambin: Take it easy, and be good to you. "
290,negative,I'm afraid I had bad code. 
291,negative,Think I'm going to bed. Goodniight. I hate this 
292,negative,"@riancurtis  i'm here, friend, and i love you."
293,negative,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??
294,negative,@aaronrva is in the bathroom and i have to pee!    
295,negative,@ashleyskyy but I wanted a margarita too! 
296,negative,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!
297,negative,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good 
298,negative,"has 0g of milky bar left, and around 200ml of coke "
299,negative,@jokerrrr It stillllll hasn't arrived 
300,negative,"Mraow, I feel like dancing, but first art school wants to rape me some more. "
301,negative,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time 
302,negative,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back 
303,negative,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.
304,negative,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/"
305,negative,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!"
306,negative,Just watched tropic thunder. Dreading tomorrow 
307,negative,@qweendassah no...he's still miss'n... 
308,negative,ChiefDelphi is down 
309,negative,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)"
310,negative,playing game at home! my new boss didn't call me yet... 
311,negative,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t
312,negative,Poor Joshy is sick???   those damn tejanos!
313,negative,My thoughts are with Sandra Cantu's family at this difficult and sad time 
314,negative,"@FranzGlaus I know, just wanted to let everybody know what was happening  "
315,negative,Michigan who?  I don't know them.                   *sigh*   Shameful!
316,negative,i have to fill two hours 
317,negative,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday "
318,negative,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office 
319,negative,throat is closing up and i had some string cheese. not a good idea 
320,negative,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family."
321,negative,wishing i was home underneath my covers 
322,negative,walking home from school drains all my energy 
323,negative,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!"
324,negative,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?
325,negative,I wish I was better at writing. It's taking me so long to write this paper. 
326,negative,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... 
327,negative,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project."
328,negative,@thecoolestout Ha the sun's already gone 
329,negative,day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. 
330,negative,My man crush Jake Peavy let me down  #gayforpeavy
331,negative,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail "
332,negative,michigan state you make me sad 
333,negative,omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.
334,negative,getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs
335,negative,@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. 
336,negative,@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. 
337,negative,just got home from watching Michigan State get tromped!   
338,negative,"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache "
339,negative,"@griffmiester no exchanging for me, my laptop hasn't arrived "
340,negative,@hyperbets i hope this doesn't last too long.  i feel miserable!
341,negative,@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...
342,negative,@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down 
343,negative,@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!
344,negative,"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah "
345,negative,@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week 
346,negative,"@otakusecret my reaction too  whoa, didn't see that coming"
347,negative,"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! "
348,negative,"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry "
349,negative,@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. 
350,negative,Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it 
351,negative,New Testament Test at 9:30 am   
352,negative,@ScoutBuck tons no hay Troll? ahhhh 
353,negative,stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! 
354,negative,"http://twitpic.com/2y2yi - I love you, Buck. "
355,negative,last one!!! but still not done!!! 
356,negative,homework.... 
357,negative,I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby 
358,negative,Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots 
359,negative,@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?
360,negative,"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and "
361,negative,"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!"
362,negative,@Sara_Kate Im afraid too  ( ur reply about uni from ages ago
363,negative,feeling down 
364,negative,@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke 
365,negative,"@nick_carter Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart."
366,negative, wonder if Jon lost the net
367,negative,Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML
368,negative,@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock 
369,negative,@Poohpot lmao im sorry poohpot i ate it all! 
370,negative,Any chance  Softbelly (for @MTUB) isn't loud? 
371,negative,Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but Iï¿½m drool for some swimming
372,negative,listening to nathan cry.... 
373,negative,today sucked. I'm gonna die without chris and callum!  wahhh!
374,negative,"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... "
375,negative,@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick 
376,negative,is in love with scrappy and is missin him already 
377,negative,wants to hear @seblefebvre 's song but myspace is messing with me 
378,negative,Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management
379,negative,@duchess_rebecca Man... intervention is soo sad 
380,negative,HELP! I need a new boyfriend... I'm stuck in a rut 
