,Tweet,Sentiment
66, ia so much! i haven`t really been happy with any of cooks choices for singles.,negative
67,   i fell asleep on the beach and didn`t put on enough sunscreen  lol,neutral
68,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,neutral
71,...and all woman who transfer their first impressions (sexual/maternal) onto a less `threatening` man -- are themselves as weak as `Him`,negative
72,Brothers Bloom won`t be opening this weekend in El Paso.  I`ll just buy Brick and enjoy that until I can watch Brothers Bloom.,positive
73,says I miss plurking.  http://plurk.com/p/wxion,negative
74,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",negative
76,_Monk Neither are ELP!!,neutral
78,is sad that shin ae got married...and it wasn`t to alex,negative
79," Sure you will tweet about this when you`re back, but news is abuzz about TR Knight`s leaving 'confirmed' today.  Muy triste.",negative
81,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral
82,"  i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",neutral
85,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,neutral
86,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can`t watch and code,negative
87, i am jealous of your mom talking to . i want to see you all our twittering is making me miss you,negative
88,I can`t sleep...I keep thinking about the puppy I played with today,neutral
90, what`s going on sweetheart?,positive
91,"How can it be so freaking difficult to get a system-wide spellchecker? ****, I`d settle for an office suite one. Stupid unhelpful Windows",negative
92,"Last one month due to summer, strawberry is not availble in the Chennai markets!",negative
93, work at 6am. Gotta go to bed soon,neutral
94, correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,positive
95, hiii im on my ipod...i cant fall asleep,neutral
97,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,negative
98,PrinceCharming,neutral
99,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher`s life in the summer SUCKS,negative
100,First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  ),negative
101, You win ... SIGH Rakeem,positive
102,Oh is that time for real?,neutral
104,Oh no one minute too late! Oh well,neutral
107, THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,negative
108,ahh! big scary bug flying around my room!!!!!,negative
109,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",positive
110,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,negative
111,  That was stone cold   Crazy....  ?,negative
112,i`m so tired,negative
113,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,neutral
114, I`m sure some1 will **** out and play. I`m workin through til midnight.,neutral
115, I second that. I wish it rained more where I am,positive
116, early happy day of birth in case I don`t make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,neutral
117,**** it were is Eric or anyone else when you need your hair to be played with,neutral
118,I`m feel deflated. Ugh. No more dog.,negative
119,Allergies suck ducks nuts.     <=====8=====>,negative
120,Well it almost was a good day... Guess I just retry tomorrow,positive
122, sounds good. Appreciate the suggestion. Been a week now and we`re still offline  Time to ask for a refund...,positive
123," He died.  Wait, what about Magic Jack? I just read it.",neutral
124,  youstinkatrespondingtotexts!,negative
125,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,neutral
127,Is miserable  i feel like im gona cry  sux!,negative
128, well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,negative
129,$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,negative
130,"claire  love the show, got into the office @ 5am and no radio",positive
131,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,neutral
132,*sigh* I`m going to bed... I just don`t feel right anymore...,negative
133,What? I focused on Tom so much I didn`t see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,neutral
134, EpiCentre Wheelock Place - tourists only..,neutral
135,Now I am depressed after watching so you think you can dance,negative
136,"Just cross `cause I`m stuck twiddling my thumbs now, ugh",negative
137,miss 16`th,neutral
138," I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",neutral
139,"I cant sleep, but im too sore to move",negative
140, http://twitpic.com/4phze - Awe! I miss my baby,negative
141, just answered you- never learned how to write in French- just basic stuff-,negative
142,what is it with chocolates? i just can never say no,neutral
143,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,neutral
144,_radio i`m too awake now  ill have a nap this afternoon,neutral
145, i cant do anything,neutral
146,still needs another 6 hours of sleep,neutral
147,I`m at work,neutral
148,RIP leonardo. You were a great mini fiddler crab,positive
149,"Morning tweeple,way to early again",neutral
150,"Last day working for the Uni today, sad times",negative
151," thanks neemah. I`m gonna be soooo close to you and izzy, yet so far",positive
152,My head hurts so bad I could scream!,negative
154,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,negative
155,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,negative
156,"where are all ma bestfriends at ? , MIA or wat ?",neutral
157,oh men!!!!!!......I really can`t see my face........c`mon guys!!!,neutral
159,my sole supporter is not my sole supporter,neutral
160,don`t you hate it when you finish all your work and there`s still 1.25 hours left of work time,negative
162,is still missing her husband.    I really want him home.,negative
163,I miss my puppy,negative
164,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",neutral
165, Up is out?  I didn`t get the memo   It looks amazing.,positive
166, I`ve given up on pizza - kids would never let me have my fav  (the hot ones),negative
168, yearling in pet home died... very sad for their whole family,negative
169,fun in the sun hmmm hell no it`s cold,neutral
172,is feeling sad... for some reason..  http://plurk.com/p/wxji3,negative
174,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,negative
176, Hi...!!! Who is Mary Poppins???,neutral
177," Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",negative
178,my last tweet didn`t send  bad phone,neutral
179,  OMG Ur alive!!! LOL  2day has gone sooo slow  I`m going insane Grrr You doing anything tonight?,neutral
180,Have a headache  I`m going to bed. Goodnight!,negative
181,  I was watching Parental Control,neutral
182," did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",positive
184, it wont let me,neutral
185,Took a shift tomorrow.    I don`t really feel like working right now.,negative
186,but now i have no money for a phone,negative
187,Spent last night in A&E (ER). Wife tangled wheels with Daughter & hit the deck. Dislocation & fracture resulted.,neutral
188, 9 days  I`m about ready to visit Torchwood and see if they`ve heard anything,positive
189,_morley where are you? In Bris? I can`t hear any thunder,negative
190,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",neutral
191,Too bad the Red Devils.. disappointing to say the least,negative
192,I had a dream about a pretty pretty beach and there was no beach when I woke up,neutral
193," Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",negative
194,when da heck will the garage man get here I ask you.. WHEN..,negative
195,"Ate Mandy, please forgive me. I really am sorry. I don`t wanna lose my Bff",negative
196, Umm yeah. That`s probably a pretty good note to self because eeeeeewwwwwwww.,positive
197,why are plane tickets so expensive,negative
199,Needs a job BADLY!!!,negative
200, daaammmnnnnn I do wish I was there.,negative
201,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,neutral
202,_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,neutral
203, Nite. Now I`m up n bored as opposed to almost sleep frm b 4,negative
205, happy birthdayyy! hope you have an awesome day. didn`t see you at next last night!,positive
206, im doing that **** right now ... im on vacation and you got me workin,neutral
208, guess its a no go girlie. I`m still at the gym and work at 6:30am,neutral
209,would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative
210, i missed the game,negative
212, cuz airlines are super lame.,negative
213, - Still a pity it comes with no lamb though,negative
214,  I`m sorry to hear that. Here is my optimist: Things will get better. For all of us.,negative
215,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",negative
216,I`m so very tired...and have insomnia.,negative
217, A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,neutral
221,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",neutral
222,people in my house do not know how to close doors,negative
223,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,neutral
224,out with  &  i am soooo hungry,negative
225, I don`t like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,negative
228, But yeah...I`m sad about my 'Ravenclaw' account. I love that account to bits.,neutral
229,"It`s 1:15 AM, and I hear a helicopter flying over my house. That`s kind of weird. In other news, my headache is back. BOOOOO.",negative
230,@__sugar oh no  i am always here ;) <3,neutral
232,@ poll : was trying to get it to work in a powerpoint to no avail.,neutral
233,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",neutral
235," yeah, it`s terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral
236,Up late with nothin 2 do.....,neutral
237,i think the vog is making me sicker than i think. feeling slightly achy,negative
238," i was watching Harpers Island, lol... there was no vodka involved",neutral
239,i am doing homework it sux big time maths is the worst!!!!!!,negative
240," would have been better, IMO, if it let you play through all 3 songs provided. I just start to 'get it' and it blacks out.",neutral
241,#3wordsaftersex it never started...,negative
242,sometimes i wish things could go back to the way they were the beginning of last summer,neutral
244, Trudy`s off Burnet...the one up north that no one goes to,neutral
245," I feel the same way, but I guess no matter where you are there will always be memes.",neutral
246,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",neutral
249,"Work day 7 of 7,",neutral
250,Chillin with the roomies. Can`t wait for the zombie CLWN CR. Its gonna be 6-8 weeks,neutral
251,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",positive
253, no im not  cries LOL,negative
255," EpiCentre Wheelock Place, 250 units & for tourists only. Starting today",neutral
256,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,negative
257,Come on Knight... It`s been well over 4 hours,neutral
258,not super keen on the drive home through the rain.. additional concentration required that i don`t really wanna deal with,neutral
259, aw u can`t let me in on the secret!,negative
260," Im sorry  I don`t think I stick out, at least compared to what I used to look like.",neutral
261,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",negative
262,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",negative
263,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,negative
264,twittascope is NOT rocking my socks - go away already!!,neutral
265,Driving Back home because I forgot the piece of cake for _era,neutral
266, so I tried jumping without the trampoline and its like thud* thud*  shouldn`t have eaten that cookie.  http://myloc.me/1XIz,neutral
267,"Everytime I send an email to my coach, I feel a need to practice.   **** balls.  Lol",neutral
268,It`s pissing me off and not letting me follow ericka,negative
269,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn`t happen  Good Night everyone....,neutral
270,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,neutral
271, i was so close to the tacos...one spot too late,negative
272,_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,neutral
273,is thinking so much and i`m at work,neutral
274,I have forgot the live with the Jonas Brothers on Facebook,neutral
275,I haven`t seen Muffin in two whole days!,negative
276, i`ll miss y`all back... give  my regards...,negative
278,"I have to admit, I`m a bit bummed out that I wasn`t with my friends walking today....",negative
279, girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,positive
280,my twitter has been hacked again,negative
281,Just found mj mouse flats at DJs. Of course there are none left in my size,negative
282, i wont have time to buy  and i need a new binder pa,neutral
283,  hahaha well its try its so ugly,negative
284,25-man Ulduar is hard...,neutral
285," I don`t even want to know WHY you know about VHEMT, but don`t go - we`d miss you",negative
286, That`s awesome! We have that this weekend too but I can`t go because I`m moving this Sat.  I should be a lot of fun though,positive
287,night night twitter world. [still cant believe the thomas thing  tomorrow`s gunna be FUN/SAD],neutral
289,_tah oh no.  *hugs*,neutral
292,"OMG-ness it`s 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I`m beat.",negative
293, i kno i doooo!!!!!!!!!! yall partyin with out me,negative
294,"Okay, so twitter suddenly changed, how do I respond to messages now",neutral
295,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,neutral
296,Decided that no matter how good my hair looks curly it doesn`t justify the burn I get from the curler! My hands covered  I suck at it!,neutral
297,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,negative
299,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,negative
300,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,negative
302,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,negative
304,  I wish I had Left 4 Dead. But first I`d need something to play it on...,neutral
305, me too,neutral
306, that story reminds of living in Portugal,neutral
307,"  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?",negative
309,my roommate _tickle loves to ignore me,neutral
310,  I`ll make him nachos tomorrow. Better than if he would have made them himself.,neutral
311, yeahhh. &dont judge my pillow,neutral
312,"Scary lightning and thunder  I`m glad it`s over now. Going to sleep, I hope I`m not late to school tomorow again. Haha",positive
313,my teeth and head hurts,negative
315," Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",neutral
316,Waiting in line @ tryst,neutral
317,Hope I get a job cuz we need an apartment. I`m drunk & miss my lil punkin  TEHE!!!,neutral
318,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,neutral
320,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",negative
321,no more arrested development. i am sad.,negative
322,"_xo  wicked , what time you leaving? how come you cant stay the night",negative
324,I feel so deflated. No more doggy.,negative
325,_rain i wanna see her hair  hows everyone?,neutral
327,im contacting PAWS Philippines so i can find 'tiger' a new owner. im so sad. i love my dog soo much,neutral
328,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,negative
330,_babsi there`s a manual process... but it`s taking 4ever on my outlook database... pffff. crappy msft product,negative
331,Fuuudge. Movie store is closed,neutral
332,ALO is so sad and quiet and empty tonight,negative
333," Hahahaha! It`s not horrible, if others were singing with I`m sure it could work. I wish I could afford my own drum set",positive
335,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,neutral
336, Aw where are you headed to? i just cancelled my trip to Aussie,neutral
337,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,negative
338, I didn`t think anyone caught that,neutral
339,I need to be sleeping.. But i`m not even tired..,neutral
341,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,negative
343,Sad that Christian Lacroix had to file bankruptcy,negative
344,I dont feel good AT ALL. fuckkk,negative
345,why did i agree to work a double shift,neutral
347, Ohh poor girl  I`ll email her... I am relying on you being here in October Mr!!,negative
348,When will Medhurst play again?,neutral
349, bad times?,negative
350,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,negative
351,Have to go to the dreaded DMV tomorrow,negative
352, I`m a bit Ben`s Thai-ed out,neutral
353,english class! working on interactive orals,neutral
354, Thank you for the rec but that doesn`t work,neutral
356,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,positive
358,in 7-11  w/o you,neutral
359," Yeah, plus it`s just a little too far to walk to Pinocchio`s for sushi",negative
361,Taylor Swift and Joe Jonas looked really good together. I`m kinda sad they broke up.,neutral
363,"Lady across the way had a miscarriage, say a prayer",neutral
364,God I just want to sleep.,neutral
366,I feel so deflated. No more doggy.,negative
367,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,negative
368,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral
369,is feeling bad  just got bad news about my Mum,negative
370, But but I dun wanna,neutral
371, **** girl I`m so down but ya gotta let me know so I can get my kit together & I got a flyer  Any next weekend? I'M DOWN!,negative
372," dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",negative
373, thats what i was thinking but the only time it`s gonna be on is 1 am!,neutral
374,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",neutral
376,feels sick to my stomach and idkk whyy,negative
377,vineri...nimic special sau probabil un alt weekend pierdut...,neutral
378,Counting the hours of lost sunshine until the Weekend,negative
381,"_jodie Um, I was thrown from `s van yesterday and had to be taken to the ER",neutral
382,"got to final table, but....went out third.  Don`t think I`ll be getting my free seat",negative
383,good morning work this morning gutted lol nevermind,neutral
384,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,negative
385,FB is boring   and i wanna sing RIGHT NOW..! *-*,negative
389,Last day at work...Sick to the bone,negative
390,i feel like I`m on house arrest.,negative
391,"love is like a war,,easy to begin, hard to end..fiuuhh...",neutral
392, ur supposed to be in BK tho,neutral
393, Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,negative
394,Oh no!  Nighty night.,neutral
396,my stupid tooooth hurts,negative
397,: love the song 'together'. that`s 'his' song for me...well i think it`s still is,positive
399, my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they **** up my order.,negative
400,_Gable It`s good isn`****! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,positive
401,It`s a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,negative
402, I`m just starting to feel really panicky and anxious that something bad has happened cos it seems like it`s been ages,negative
403,my dog ran awayyy,negative
404,_is_one84 Those suck so bad.,negative
405,"I`m back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",neutral
407,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,positive
408,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!,neutral
409, what happen to the maids of yours? Quit once again? ...,neutral
410,I`m awake. Anybody else awake? Wish I lived in the US since all the fun happens when I`m asleep!,positive
412,_J heehee. i love you! i am tired.,neutral
413,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,negative
415," hmmm, I thought u were sleeping!! Too bad I can`t see those videos until tomorrow night.",negative
416,"Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day",negative
418,"how I wish my parents put me into a Chinese school when I was younger. Then, it`ll be so much easier for me to get a job...",negative
419,"  Yeah, physically moving too!  Apparently we`ll be reporting directly to Mr. Hayward...",neutral
421, jealous  it looks like schindler`s list in toronto,negative
423, what?! Come as you are!!! But erock just left  bah D:,neutral
426,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I`m not sure if I can sleep at all.",negative
427,for the gays i only made 200 tonight,neutral
428, oh ****! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,negative
429,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  ****!",negative
430, nope.  they are all sleeping cuz they live on the east coast.,neutral
431," I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",negative
432,: eww. dislike,negative
433,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn`t try for uni.,neutral
434,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive
435," sorry bout the cat,",negative
436,needs to have an increase on her salary  http://plurk.com/p/wxluu,neutral
437,my stomach feels like it`s touching the ground..i`m SO full,negative
438,Pug just woke me from an incredible sleep!,negative
439, i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,positive
440,Sooo much work so little time,negative
441,missed iron chef,negative
442, the DS version sucks,negative
444, i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun,positive
445,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,negative
446,"Ugh, my internet was down!",negative
447,omg i didnt tweet all that much today.... *sadness*,negative
448,is feeling so giddy and wanna go home.,negative
449,the week just wasnt the same without an adam lambert performance!!!,neutral
450, The link doesn`t work,negative
451,Up and packing. Its the last day of youth camp,neutral
452,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..",neutral
454,Somebody please save the polar bears!,positive
458,guess im staying home tonight...no movie-ing for me,neutral
459,went to the cd store to search for the cd. But,neutral
460, reminds me of the weather a month ago it was horrible  I hope all is well hugs,neutral
461,I miss my mom..  'May angels lead you in',negative
462,there`s really no android twitter app of Tweetie`s calibre,neutral
463,on jacksonville beach walking in the cold **** water   but have to work in the morning   ily <(`-`)>,negative
464,"_d No, it`s not...",neutral
466,Can`t sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,negative
467, well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,positive
468,Sleppytime. Really missing my godfather right now. Love you Wayne,neutral
470, hope ya sleepin well  guys still here,positive
471,"i should be finished.... but i`m not.  color drawing, here i come.",negative
472," Lakers, baby Lakers!! I`ll miss the game tmwr. I have to work  you`ll have to keep me posted please",negative
474,**** being drunk and hot sucks,negative
475,misses my baby.,negative
476,is not sleeping because he has paperwork to do.,neutral
477,Showered in ice-cold water. Sweating now. Means one thing: I`m sick,negative
478,"midnight cry.. wish the person I wanted, wanted me right now",neutral
479, I`ma need you to follow me real quick cause I can`t DM you,neutral
480,I`m poorly and can`t sleep,negative
481,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,negative
482," And these poor, unfortunate souls don`t appear to have any pants at all...  ? http://blip.fm/~78qvz",negative
483,  If I told you how often I wash my hair you would never speak to me again,neutral
484,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",negative
485, http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,negative
486,didnt say goodnight to you,neutral
487,  I am not a ****! damnit!  [sending you an e-mail right now btw],negative
489,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.,neutral
490,Can`t sleep and nothings on tv!!,negative
491,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral
492, oh ... you`ve been superseeded?  not good enough,negative
493,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I`m definately NOT working this pm,neutral
494,****`m transtelecom,neutral
495,"is really, really bored... I guess I will go to bed",negative
496,_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store,neutral
497,  tee we beefin....what was u supposed to do before leavin????,neutral
498,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,negative
499,_ that sucks!,negative
500, IIII know!!! and mean,positive
501,Having Fever  dont feel to work,negative
502,"Taking Horse Pills, hoping I can get some sleep tonight",positive
503, PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one,positive
505, Hey! That`s my school! I hate that place.,negative
506,"Working from home today, my back is killing me  Doctor and then physio after later today.",negative
507,back to work.. with no distractions..,positive
508," demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",positive
509,awwww  i never noticed this http://bit.ly/RConp,neutral
513,"First impression of Silverlight: sadly, based on what I saw today, it`s quite problematic",negative
514,is desperatly hoping my dad takes me to vanessa`s game,positive
515,_and_jay hi!  **** your job!,negative
516,Missing you all deeply,negative
518," big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",negative
520,"_cheryl Lucky, now I want to teleport",neutral
521,Somebody please save the polar bears!,positive
522,"My nose is runny, my head is pounding, and teeth hurt like a ****. MAN. @-) I feel awful.  =((",negative
523,I don`t want her to leave..,neutral
524,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.,positive
526,wut do i do now????,neutral
527,Working   But it`s Fridaaaayyyyy,neutral
528,At the Grove for `Drag Me to Hell.` I hope that it doesn`t suck.,positive
529, so i feel like **** for saying HAPPY BELATED BIRFDAYY.. i`m only a month late,negative
530," lmao...thats sad, kinda discourages me 4rom goin if the **** wack",negative
534,FC is finally up again. it`s about time. i hate that this keeps happening,negative
535,seriously bored without anyone to talk to... but not tired enough for sleep,negative
538,bed bed bed  do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day,negative
539,where u at?,neutral
